Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Rel std dev %	Mean	Mean diff %	Median	Median diff %	Skewness	P-value	Instruction count	Memory usage
Laravel 12.11.0 demo app	50	100	100	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.45118	0.45861	0.00096	0.21253	0.45183	0.00	0.45168	0.00	6.410	0.999	0	27.60
Laravel 12.11.0 demo app	50	100	100	PHP - previous master	65b4073922	https://github.com/php/php-src/commit/65b4073922	0.44616	0.45281	0.00075	0.16761	0.44683	-1.11	0.44668	-1.11	5.939	0.000	0	27.00
Laravel 12.11.0 demo app	50	100	100	PHP - master	61845cc016	https://github.com/php/php-src/commit/61845cc016	0.44618	0.45301	0.00070	0.15604	0.44677	-1.12	0.44666	-1.11	7.446	0.000	0	27.00
Laravel 12.11.0 demo app	50	100	100	PHP - master (JIT)	61845cc016	https://github.com/php/php-src/commit/61845cc016	0.42842	0.42971	0.00024	0.05510	0.42885	-5.09	0.42882	-5.06	0.943	0.000	0	27.00
Symfony 2.8.0 demo app	50	100	100	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.77326	0.78697	0.00185	0.23833	0.77486	0.00	0.77453	0.00	5.653	0.999	0	27.61
Symfony 2.8.0 demo app	50	100	100	PHP - previous master	65b4073922	https://github.com/php/php-src/commit/65b4073922	0.76977	0.78312	0.00220	0.28565	0.77157	-0.43	0.77113	-0.44	4.411	0.000	0	27.01
Symfony 2.8.0 demo app	50	100	100	PHP - master	61845cc016	https://github.com/php/php-src/commit/61845cc016	0.76233	0.77370	0.00184	0.23850	0.77011	-0.61	0.77039	-0.54	-1.505	0.000	0	27.01
Symfony 2.8.0 demo app	50	100	100	PHP - master (JIT)	61845cc016	https://github.com/php/php-src/commit/61845cc016	1.11845	1.19595	0.01444	1.22728	1.17690	51.88	1.18115	52.50	-1.821	0.000	0	27.01
Wordpress 6.9 main page	20	100	20	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.65874	0.67951	0.00203	0.30791	0.65980	0.00	0.65960	0.00	9.398	0.999	0	27.61
Wordpress 6.9 main page	20	100	20	PHP - previous master	65b4073922	https://github.com/php/php-src/commit/65b4073922	0.66432	0.68454	0.00196	0.29493	0.66563	0.88	0.66542	0.88	9.203	0.000	0	27.01
Wordpress 6.9 main page	20	100	20	PHP - master	61845cc016	https://github.com/php/php-src/commit/61845cc016	0.66494	0.68515	0.00266	0.39958	0.66658	1.03	0.66623	1.01	6.710	0.000	0	27.01
Wordpress 6.9 main page	20	100	20	PHP - master (JIT)	61845cc016	https://github.com/php/php-src/commit/61845cc016	0.59242	0.59461	0.00040	0.06681	0.59331	-10.08	0.59330	-10.05	0.326	0.000	0	27.01
bench.php	10	100	2	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.42510	0.43144	0.00131	0.30617	0.42801	0.00	0.42794	0.00	0.501	0.999	0	27.61
bench.php	10	100	2	PHP - previous master	65b4073922	https://github.com/php/php-src/commit/65b4073922	0.42375	0.43067	0.00151	0.35312	0.42654	-0.34	0.42653	-0.33	0.533	0.000	0	27.01
bench.php	10	100	2	PHP - master	61845cc016	https://github.com/php/php-src/commit/61845cc016	0.42383	0.43196	0.00151	0.35486	0.42677	-0.29	0.42658	-0.32	0.677	0.000	0	27.01
bench.php	10	100	2	PHP - master (JIT)	61845cc016	https://github.com/php/php-src/commit/61845cc016	0.13837	0.14609	0.00146	1.03846	0.14067	-67.13	0.14044	-67.18	0.884	0.000	0	27.01
