Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Rel std dev %	Mean	Mean diff %	Median	Median diff %	Skewness	Z-stat	P-value	Memory usage
Laravel 12.11.0 demo app	50	50	100	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.39665	0.39970	0.00037	0.09204	0.39847	0.00	0.39847	0.00	-1.828	0.000	1.000	26.60
Laravel 12.11.0 demo app	50	50	100	PHP - previous master	52e9436629	https://github.com/php/php-src/commit/52e9436629	0.39092	0.39252	0.00041	0.10590	0.39144	-1.77	0.39130	-1.80	1.055	8.614	0.000	25.48
Laravel 12.11.0 demo app	50	50	100	PHP - master	96be28cb0e	https://github.com/php/php-src/commit/96be28cb0e	0.39041	0.39256	0.00047	0.12098	0.39094	-1.89	0.39075	-1.94	1.717	8.614	0.000	25.48
Laravel 12.11.0 demo app	50	50	100	PHP - master (JIT)	96be28cb0e	https://github.com/php/php-src/commit/96be28cb0e	0.36414	0.36797	0.00075	0.20675	0.36474	-8.47	0.36453	-8.52	2.999	8.614	0.000	25.60
Symfony 2.8.0 demo app	50	50	100	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.67806	0.68002	0.00045	0.06702	0.67862	0.00	0.67847	0.00	1.304	0.000	1.000	26.71
Symfony 2.8.0 demo app	50	50	100	PHP - previous master	52e9436629	https://github.com/php/php-src/commit/52e9436629	0.67611	0.67825	0.00047	0.06981	0.67682	-0.26	0.67674	-0.25	0.873	8.538	0.000	25.61
Symfony 2.8.0 demo app	50	50	100	PHP - master	96be28cb0e	https://github.com/php/php-src/commit/96be28cb0e	0.67422	0.68087	0.00114	0.16830	0.67532	-0.49	0.67493	-0.52	3.021	8.255	0.000	25.61
Symfony 2.8.0 demo app	50	50	100	PHP - master (JIT)	96be28cb0e	https://github.com/php/php-src/commit/96be28cb0e	0.64363	0.65698	0.00184	0.28534	0.64474	-4.99	0.64436	-5.03	6.253	8.614	0.000	25.74
Wordpress 6.9 main page	20	50	20	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.58957	0.59469	0.00113	0.19034	0.59172	0.00	0.59174	0.00	0.209	0.000	1.000	26.77
Wordpress 6.9 main page	20	50	20	PHP - previous master	52e9436629	https://github.com/php/php-src/commit/52e9436629	0.58954	0.59974	0.00146	0.24780	0.59040	-0.22	0.59013	-0.27	5.675	6.477	0.000	25.71
Wordpress 6.9 main page	20	50	20	PHP - master	96be28cb0e	https://github.com/php/php-src/commit/96be28cb0e	0.58934	0.59331	0.00066	0.11264	0.59013	-0.27	0.59000	-0.29	3.412	6.973	0.000	25.71
Wordpress 6.9 main page	20	50	20	PHP - master (JIT)	96be28cb0e	https://github.com/php/php-src/commit/96be28cb0e	0.51906	0.52205	0.00063	0.12051	0.52006	-12.11	0.51992	-12.14	1.659	8.614	0.000	25.83
bench.php	20	50	2	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.44099	0.44389	0.00070	0.15752	0.44222	0.00	0.44219	0.00	0.467	0.000	1.000	26.77
bench.php	20	50	2	PHP - previous master	52e9436629	https://github.com/php/php-src/commit/52e9436629	0.44109	0.44545	0.00101	0.22735	0.44313	0.21	0.44330	0.25	-0.003	-4.457	0.000	25.71
bench.php	20	50	2	PHP - master	96be28cb0e	https://github.com/php/php-src/commit/96be28cb0e	0.44175	0.44708	0.00079	0.17812	0.44436	0.48	0.44442	0.50	0.070	-8.124	0.000	25.71
bench.php	20	50	2	PHP - master (JIT)	96be28cb0e	https://github.com/php/php-src/commit/96be28cb0e	0.14294	0.14487	0.00030	0.20707	0.14347	-67.56	0.14345	-67.56	2.217	8.614	0.000	25.83
